title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,wikipedia_link,year
Society of the Snow,,2023-09-09T00:00:00Z,"drama film, adventure film, biographical film, thriller film, historical film",J. A. Bayona,144,tt16277242,,34,https://en.wikipedia.org/wiki/Society_of_the_Snow,2023
"Red, White & Royal Blue",,2023-08-11T00:00:00Z,"comedy film, romance film",Matthew López,112,tt10172266,,33,https://en.wikipedia.org/wiki/Red%2C_White_%26_Royal_Blue,2023
A Man Called Otto,,2023-01-06T00:00:00Z,"drama film, comedy film, film based on a novel",Marc Forster,126,tt7405458,,33,https://en.wikipedia.org/wiki/A_Man_Called_Otto,2023
No Hard Feelings,,2023-06-21T00:00:00Z,"comedy film, comedy drama, romantic comedy",Gene Stupnitsky,90,tt15671028,,33,https://en.wikipedia.org/wiki/No_Hard_Feelings,2023
Sound of Freedom,,2023-07-04T00:00:00Z,"drama film, action film, crime film",Alejandro Monteverde,131,tt7599146,,32,https://en.wikipedia.org/wiki/Sound_of_Freedom,2023
Cocaine Bear,,2023-02-23T00:00:00Z,"action film, police film, thriller film, black comedy film",Elizabeth Banks,95,tt14209916,,32,https://en.wikipedia.org/wiki/Cocaine_Bear,2023
Evil Dead Rise,,2023-03-15T00:00:00Z,"horror film, speculative fiction film, supernatural horror film",Lee Cronin,96,tt13345606,,32,https://en.wikipedia.org/wiki/Evil_Dead_Rise,2023
Maestro,,2023-09-02T00:00:00Z,"drama film, biographical film, romance film, LGBT-related film",Bradley Cooper,129,tt5535276,,32,https://en.wikipedia.org/wiki/Maestro,2023
A Haunting in Venice,,2023-09-13T00:00:00Z,"crime film, mystery film, police film, neo-noir, thriller film, detective film, film based on a novel, drama film",Kenneth Branagh,103,tt22687790,,32,https://en.wikipedia.org/wiki/A_Haunting_in_Venice,2023
Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,,2023-01-25T00:00:00Z,"action film, dark fantasy, anime film",Haruo Sotozaki,117,tt11032374,,31,https://en.wikipedia.org/wiki/Demon_Slayer%3A_Kimetsu_no_Yaiba_the_Movie%3A_Mugen_Train,2023
The Killer,,2023-09-03T00:00:00Z,"neo-noir, action thriller, film based on literature",David Fincher,118,tt1136617,,31,https://en.wikipedia.org/wiki/The_Killer,2023
Air,,2023-03-18T00:00:00Z,"drama film, biographical film",Ben Affleck,112,tt16419074,,31,https://en.wikipedia.org/wiki/Air,2023
